"id";"moto_similares";"caminhao_similares";"onibus_similares"
260694;"não";"sim";"não"
260695;"não";"sim";"não"
260696;"não";"sim";"não"
260697;"sim";"não";"não"
260698;"não";"não";"não"
260700;"não";"não";"não"
260702;"sim";"não";"não"
260703;"não";"não";"não"
260705;"não";"sim";"não"
260706;"não";"sim";"não"
260707;"não";"não";"não"
260708;"não";"não";"não"
260710;"não";"não";"não"
260711;"não";"sim";"não"
260712;"não";"não";"não"
260713;"não";"não";"não"
260714;"não";"não";"não"
260715;"não";"não";"não"
260716;"não";"não";"não"
260717;"não";"não";"não"
260718;"não";"não";"não"
260719;"não";"sim";"não"
260720;"não";"não";"não"
260721;"não";"não";"não"
260723;"não";"não";"não"
260724;"não";"não";"não"
260725;"não";"não";"não"
260727;"não";"não";"não"
260728;"não";"não";"sim"
260729;"não";"não";"não"
260730;"sim";"não";"não"
260731;"não";"não";"não"
260732;"não";"não";"não"
260733;"não";"sim";"não"
260734;"não";"não";"não"
260735;"não";"não";"não"
260736;"não";"não";"não"
260737;"não";"sim";"não"
260738;"não";"não";"não"
260739;"não";"não";"não"
260741;"não";"não";"não"
260742;"não";"não";"não"
260743;"não";"sim";"sim"
260745;"não";"não";"não"
260746;"não";"não";"não"
260747;"não";"sim";"não"
260748;"não";"não";"não"
260749;"não";"sim";"não"
260750;"não";"sim";"não"
260752;"não";"não";"não"
260753;"não";"não";"não"
260755;"não";"não";"não"
260756;"sim";"não";"não"
260758;"sim";"sim";"não"
260760;"não";"não";"não"
260761;"não";"não";"não"
260762;"não";"não";"não"
260763;"não";"não";"não"
260764;"sim";"não";"não"
260765;"não";"não";"não"
260766;"não";"não";"não"
260768;"não";"não";"não"
260769;"não";"não";"não"
260770;"sim";"não";"não"
260771;"sim";"sim";"não"
260772;"não";"não";"não"
260773;"não";"não";"não"
260774;"não";"sim";"não"
260775;"não";"não";"não"
260776;"não";"não";"não"
260777;"não";"não";"não"
260778;"não";"não";"não"
260779;"não";"não";"não"
260780;"não";"sim";"não"
260781;"sim";"não";"não"
260782;"não";"não";"não"
260783;"sim";"não";"sim"
260784;"não";"não";"não"
260785;"não";"sim";"não"
260786;"não";"não";"não"
260788;"não";"não";"não"
260790;"não";"não";"não"
260791;"sim";"não";"não"
260792;"não";"não";"não"
260793;"sim";"não";"não"
260795;"sim";"não";"não"
260796;"não";"não";"não"
260797;"não";"sim";"não"
260798;"não";"não";"não"
260799;"não";"não";"não"
260800;"não";"não";"não"
260801;"não";"não";"não"
260802;"não";"não";"não"
260803;"sim";"não";"não"
260804;"não";"não";"não"
260805;"não";"não";"não"
260806;"sim";"não";"não"
260807;"sim";"não";"não"
260809;"não";"não";"não"
260810;"não";"sim";"não"
260811;"não";"não";"não"
260812;"sim";"não";"não"
260813;"sim";"não";"não"
260814;"sim";"não";"não"
260815;"não";"não";"não"
260816;"sim";"sim";"não"
260817;"não";"sim";"sim"
260818;"sim";"não";"não"
260819;"não";"não";"não"
260820;"não";"sim";"não"
260822;"não";"sim";"não"
260823;"não";"não";"não"
260824;"sim";"não";"não"
260825;"não";"sim";"não"
260826;"não";"não";"não"
260827;"sim";"não";"não"
260828;"não";"não";"não"
260829;"não";"não";"não"
260830;"não";"não";"não"
260831;"sim";"não";"não"
260832;"não";"não";"não"
260833;"não";"não";"não"
260835;"não";"sim";"não"
260836;"não";"não";"não"
260837;"sim";"não";"não"
260838;"não";"não";"não"
260840;"não";"não";"não"
260841;"não";"não";"não"
260842;"não";"não";"não"
260843;"não";"não";"não"
260844;"não";"não";"não"
260845;"sim";"não";"não"
260846;"não";"não";"não"
260848;"sim";"não";"não"
260849;"não";"sim";"não"
260850;"não";"não";"não"
260851;"sim";"não";"não"
260853;"não";"não";"não"
260854;"não";"não";"não"
260855;"não";"não";"não"
260856;"não";"não";"não"
260857;"não";"não";"não"
260858;"sim";"não";"não"
260859;"sim";"não";"não"
260860;"não";"não";"não"
260861;"sim";"não";"não"
260862;"sim";"não";"não"
260864;"não";"não";"não"
260865;"não";"sim";"não"
260866;"não";"não";"não"
260867;"não";"não";"não"
260868;"não";"não";"não"
260869;"sim";"não";"não"
260870;"não";"não";"não"
260871;"não";"não";"não"
260874;"não";"não";"não"
260875;"não";"sim";"não"
260877;"não";"não";"não"
260878;"não";"sim";"não"
260879;"não";"não";"não"
260880;"sim";"não";"não"
260881;"não";"não";"não"
260882;"sim";"não";"não"
260883;"não";"não";"não"
260884;"sim";"sim";"não"
260886;"não";"não";"não"
260887;"não";"sim";"não"
260888;"não";"não";"não"
260889;"sim";"não";"não"
260890;"não";"não";"não"
260891;"sim";"não";"não"
260892;"não";"não";"não"
260893;"sim";"não";"sim"
260894;"não";"não";"não"
260895;"não";"não";"não"
260896;"não";"não";"não"
260897;"não";"não";"não"
260898;"não";"sim";"não"
260899;"não";"sim";"sim"
260900;"sim";"não";"não"
260901;"não";"não";"não"
260902;"sim";"não";"não"
260903;"não";"não";"não"
260904;"não";"não";"não"
260905;"sim";"não";"não"
260906;"sim";"não";"não"
260907;"não";"não";"não"
260908;"não";"não";"não"
260909;"sim";"não";"não"
260910;"não";"não";"não"
260911;"não";"não";"não"
260912;"sim";"não";"não"
260913;"sim";"não";"não"
260914;"não";"não";"não"
260915;"sim";"não";"não"
260916;"não";"não";"sim"
260918;"não";"não";"não"
260920;"sim";"não";"não"
260921;"não";"sim";"não"
260922;"não";"sim";"não"
260923;"não";"não";"não"
260924;"não";"não";"sim"
260925;"não";"sim";"não"
260927;"não";"sim";"não"
260928;"sim";"sim";"não"
260929;"não";"não";"não"
260930;"não";"não";"não"
260931;"não";"não";"não"
260932;"não";"sim";"não"
260933;"não";"não";"não"
260934;"não";"não";"não"
260935;"não";"não";"não"
260936;"não";"não";"não"
260937;"não";"sim";"não"
260938;"não";"não";"não"
260939;"não";"sim";"não"
260940;"não";"não";"não"
260941;"não";"não";"não"
260943;"não";"não";"não"
260944;"não";"não";"não"
260945;"sim";"não";"não"
260946;"não";"não";"não"
260947;"não";"não";"não"
260948;"sim";"não";"não"
260949;"não";"não";"não"
260951;"sim";"não";"não"
260952;"não";"sim";"não"
260953;"não";"não";"não"
260954;"sim";"não";"não"
260955;"não";"sim";"não"
260956;"não";"não";"não"
260957;"não";"não";"não"
260959;"não";"não";"não"
260961;"não";"não";"não"
260963;"não";"não";"não"
260964;"não";"não";"não"
260966;"não";"não";"não"
260967;"não";"sim";"não"
260969;"sim";"não";"não"
260970;"sim";"não";"não"
260972;"não";"não";"não"
260973;"sim";"não";"não"
260974;"não";"não";"não"
260975;"não";"não";"não"
260976;"não";"não";"não"
260978;"não";"não";"não"
260979;"não";"não";"não"
260980;"não";"não";"não"
260982;"não";"não";"não"
260983;"não";"não";"não"
260984;"sim";"não";"não"
260985;"não";"não";"não"
260986;"sim";"não";"não"
260988;"não";"sim";"não"
260989;"não";"sim";"não"
260990;"sim";"não";"não"
260991;"não";"não";"não"
260992;"não";"não";"não"
260993;"não";"sim";"não"
260994;"sim";"sim";"não"
260997;"não";"não";"não"
260998;"sim";"não";"não"
260999;"sim";"não";"não"
261001;"sim";"não";"não"
261002;"sim";"não";"não"
261003;"não";"não";"não"
261007;"não";"sim";"não"
261008;"não";"não";"não"
261009;"não";"não";"não"
261010;"não";"não";"não"
261011;"não";"não";"não"
261012;"sim";"não";"não"
261013;"não";"não";"não"
261015;"não";"não";"não"
261016;"sim";"não";"não"
261017;"não";"não";"não"
261019;"não";"não";"não"
261020;"não";"não";"não"
261021;"não";"não";"não"
261022;"sim";"não";"não"
261023;"sim";"não";"não"
261024;"sim";"não";"não"
261025;"não";"não";"não"
261027;"não";"não";"não"
261028;"não";"não";"não"
261029;"não";"não";"não"
261030;"não";"não";"não"
261031;"sim";"não";"não"
261032;"não";"sim";"não"
261033;"não";"não";"não"
261034;"sim";"não";"não"
261035;"não";"não";"não"
261036;"não";"não";"não"
261037;"não";"não";"não"
261038;"não";"sim";"não"
261039;"sim";"não";"não"
261040;"não";"não";"não"
261042;"não";"não";"não"
261043;"não";"sim";"não"
261044;"sim";"não";"não"
261045;"não";"sim";"não"
261046;"sim";"não";"não"
261047;"sim";"não";"não"
261049;"não";"não";"não"
261050;"sim";"não";"não"
261051;"sim";"sim";"não"
261052;"não";"não";"não"
261053;"não";"não";"não"
261054;"não";"não";"não"
261056;"sim";"não";"não"
261057;"não";"não";"não"
261058;"não";"não";"não"
261059;"não";"não";"não"
261060;"não";"não";"não"
261061;"sim";"não";"não"
261062;"não";"não";"não"
261063;"não";"não";"não"
261064;"não";"não";"não"
261065;"não";"sim";"não"
261066;"sim";"não";"não"
261067;"sim";"não";"não"
261068;"não";"não";"não"
261069;"não";"sim";"não"
261070;"sim";"não";"não"
261071;"não";"não";"não"
261073;"sim";"não";"não"
261074;"não";"não";"sim"
261075;"não";"não";"não"
261076;"não";"não";"não"
261077;"não";"não";"não"
261078;"sim";"não";"não"
261079;"não";"não";"não"
261080;"sim";"não";"não"
261081;"sim";"não";"não"
261082;"não";"sim";"não"
261084;"não";"não";"não"
261085;"sim";"não";"não"
261087;"não";"não";"não"
261088;"sim";"não";"não"
261089;"sim";"não";"não"
261090;"não";"não";"não"
261091;"não";"não";"não"
261092;"não";"não";"não"
261094;"sim";"não";"não"
261095;"sim";"não";"não"
261096;"sim";"não";"não"
261098;"não";"não";"não"
261099;"não";"não";"não"
261100;"não";"não";"não"
261101;"não";"não";"não"
261102;"não";"não";"não"
261103;"não";"não";"sim"
261104;"sim";"não";"não"
261105;"não";"sim";"não"
261106;"sim";"não";"não"
261107;"sim";"sim";"não"
261108;"sim";"não";"não"
261109;"sim";"não";"não"
261110;"não";"sim";"não"
261111;"não";"sim";"não"
261112;"não";"sim";"não"
261113;"não";"sim";"não"
261114;"sim";"não";"não"
261117;"sim";"não";"não"
261118;"sim";"não";"não"
261119;"não";"sim";"não"
261120;"sim";"não";"não"
261121;"sim";"não";"não"
261122;"sim";"não";"sim"
261123;"não";"não";"não"
261124;"não";"não";"sim"
261125;"não";"não";"não"
261126;"não";"não";"sim"
261127;"sim";"não";"não"
261128;"sim";"não";"não"
261129;"sim";"não";"não"
261130;"sim";"não";"não"
261131;"não";"não";"não"
261132;"sim";"não";"não"
261133;"não";"não";"não"
261134;"sim";"não";"não"
261135;"sim";"não";"não"
261136;"sim";"não";"não"
261137;"sim";"não";"não"
261138;"sim";"não";"não"
261139;"sim";"não";"não"
261140;"não";"não";"não"
261141;"sim";"não";"não"
261142;"não";"não";"não"
261143;"sim";"não";"não"
261144;"sim";"sim";"não"
261145;"não";"não";"não"
261146;"sim";"não";"não"
261147;"sim";"não";"não"
261148;"não";"não";"não"
261149;"não";"não";"não"
261150;"sim";"não";"não"
261154;"sim";"sim";"não"
261155;"não";"sim";"não"
261156;"não";"sim";"não"
261157;"sim";"não";"não"
261158;"sim";"não";"não"
261160;"não";"não";"não"
261161;"sim";"não";"não"
261165;"não";"sim";"não"
261167;"sim";"não";"não"
261168;"não";"não";"não"
261169;"não";"não";"não"
261170;"não";"não";"não"
261171;"não";"não";"não"
261172;"sim";"não";"não"
261173;"sim";"não";"não"
261174;"sim";"não";"não"
261175;"não";"não";"não"
261176;"não";"não";"não"
261177;"não";"sim";"não"
261178;"sim";"sim";"não"
261179;"não";"não";"não"
261181;"sim";"não";"não"
261182;"sim";"não";"não"
261183;"não";"não";"não"
261184;"não";"sim";"não"
261185;"sim";"não";"não"
261186;"sim";"não";"não"
261187;"não";"sim";"não"
261188;"não";"não";"não"
261189;"sim";"não";"sim"
261190;"sim";"sim";"não"
261191;"não";"não";"não"
261192;"não";"não";"não"
261193;"sim";"não";"não"
261194;"não";"não";"não"
261195;"não";"não";"não"
261196;"não";"não";"não"
261197;"não";"não";"não"
261198;"sim";"não";"sim"
261199;"sim";"não";"não"
261200;"não";"sim";"não"
261201;"sim";"não";"não"
261202;"não";"não";"não"
261203;"não";"não";"não"
261204;"não";"não";"não"
261207;"não";"não";"não"
261208;"não";"sim";"não"
261209;"não";"sim";"não"
261210;"sim";"não";"não"
261211;"não";"não";"não"
261212;"não";"não";"não"
